product_code,product_name,ingredient
53301070,자바렐토정20밀리그램(리바록사반)_(20mg/1정),rivaroxaban
656700900,스포나졸정(이트라코나졸고체분산체)_(0.253g/1정),itraconazole
53600320,뉴아토르타정40밀리그램(아토르바스타틴칼슘삼수화물)_(43.4mg/1정),atorvastatin
645604360,대화이트라코나졸정_(0.1g/1정),itraconazole
53601610,뉴아토르젯정10/20밀리그램_(1정),ezetimibe
690301490,하이트라졸정100mg(이트라코나졸고체분산체)_(0.253g/1정),itraconazole
53601630,뉴아토르젯정10/10밀리그램_(1정),ezetimibe
648502930,이코나졸캡슐(이트라코나졸)_(0.1g/1캡슐),itraconazole
658700670,에보타즈정_(1정),atazanavir
53601670,안국뉴팜에스오플러스정20/800밀리그램_(1정),esomeprazole
665505965,유니헥솔주300(이오헥솔)_(84.11g/130mL),iohexol
53601680,빌다틴메트정50/500밀리그램_(1정),vildagliptin
621400134,이오파미로370주사액(이오파미돌)_(113.295g/150mL),iopamidol
693901460,디트라정(이트라코나졸고체분산체)_(0.253g/1정),itraconazole
54800020,리피크린정10밀리그램(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),atorvastatin
646902560,스포라녹스캡슐(이트라코나졸)_(0.1g/1캡슐),itraconazole
54800070,리피크린정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),atorvastatin
658203220,비보존이트라코나졸정_(0.1g/1정),itraconazole
54801210,리바롤정20밀리그램(리바록사반)_(20mg/1정),rivaroxaban
674101670,이트라원정100mg(이트라코나졸고체분산체)_(0.253g/1정),itraconazole
54801260,엔비젯정10/10밀리그램_(1정),atorvastatin
642801150,이타코나정(이트라코나졸고체분산체)_(0.253g/1정),itraconazole
670303210,코니트라정100밀리그램(이트라코나졸고체분산체)_(0.253g/1정),itraconazole
54801260,엔비젯정10/10밀리그램_(1정),ezetimibe
54801270,엔비젯정10/20밀리그램_(1정),atorvastatin
648604730,씨코나졸캡슐(이트라코나졸)_(0.1g/1캡슐),itraconazole
54801280,엔비젯정10/40밀리그램_(1정),atorvastatin
643200580,스포라졸정(이트라코나졸고체분산체)(수출명: 아주졸린정)_(0.253g/1정),itraconazole
54801280,엔비젯정10/40밀리그램_(1정),ezetimibe
650303650,이나졸정100밀리그램(이트라코나졸고체분산체)_(0.253g/1정),itraconazole
57600290,리토르정20mg(아토르바스타틴칼슘삼수화물)_(21.69mg/1정),atorvastatin
664901080,이트랄정(이트라코나졸고체분산체)_(0.253g/1정),itraconazole
57600850,아미젯정10/20밀리그램_(1정),atorvastatin
57600850,아미젯정10/20밀리그램_(1정),ezetimibe
622801490,더이트라정(이트라코나졸)_(0.1g/1정),itraconazole
57600860,아미젯정10/10밀리그램_(1정),ezetimibe
657302390,스포넥스캡슐(이트라코나졸)_(0.1g/1캡슐),itraconazole
57600870,아미젯정10/40밀리그램_(1정),ezetimibe
658700670,에보타즈정_(1정),cobicistat
58200760,아란프캡슐30밀리그램(란소프라졸과립)_(30mg/1캡슐),lansoprazole
58801220,란소앤정30/600밀리그램_(1정),lansoprazole
650100654,아이오브릭스주300(이오헥솔)_(32.35g/50mL),iohexol
59000110,케이릴엠정1/250밀리그램_(1정),metformin
645101511,보노렉스300주(이오헥솔)(수출명: IOHEXOL 300 Inj.)_(6.47g/10mL),iohexol
73600132,듀오레이주사270밀리그램(요오딕사놀)_(27.5g/50mL),iodixanol
59000110,케이릴엠정1/250밀리그램_(1정),glimepiride
73600143,메디레이300주(이오헥솔)_(19.41g/30mL),iohexol
657401744,퍼슨헥솔주300(이오헥솔)_(97.05g/150mL),iohexol
621400092,이오메론300주사액(이오메프롤)_(61.24g/100mL),iomeprol
647203920,이타녹스정100밀리그램(이트라코나졸고체분산체)_(0.253g/1정),itraconazole
59000450,아드윈정10밀리그램(아토르바스타틴칼슘삼수화물)_(10.85mg/1정),atorvastatin
657805010,스포코라정(이트라코나졸고체분산체)_(0.253g/1정),itraconazole
669905850,이코졸정(이트라코나졸고체분산체)_(0.253g/1정),itraconazole
59000460,아드윈정20밀리그램(아토르바스타틴칼슘삼수화물)_(21.7mg/1정),atorvastatin
663601030,"심비단정(심바스타틴)(수출명:SIVASTANTTAB.,SIVANSTANTTAB.)_(20mg/1정)",simvastatin
59000910,이트라스정(이트라코나졸고체분산체)_(0.253g/1정),itraconazole
657308610,사이크린연질캡슐25밀리그램(사이클로스포린)_(25mg/1캡슐),cyclosporine
59001000,아드젯정10/20밀리그램_(1정),ezetimibe
679801380,트리코나정(이트라코나졸고체분산체)_(0.253g/1정),itraconazole
59001010,아드젯정10/10밀리그램_(1정),atorvastatin
59001040,리바로트정10밀리그램(리바록사반)_(10mg/1정),rivaroxaban
650100662,아이오브릭스주350(이오헥솔)_(37.75g/50mL),iohexol
59001150,다누메트엑스알서방정50/500밀리그램_(1정),metformin
629700634,아스헥솔주300(이오헥솔)_(97.05g/150mL),iohexol
641106061,울트라비스트300주프리필드카트리지(이오프로마이드)_(77.925g/125mL),iopromide
59001160,다누메트엑스알서방정50/1000밀리그램_(1정),metformin
655403294,레이팜370주사액(이오파미돌)_(113.28g/150mL),iopamidol
79000021,보노라인370주(이오파미돌)_(75.53g/100mL),iopamidol
623500017,스캔룩스300주사액(이오파미돌)_(45.9g/75mL),iopamidol
59001160,다누메트엑스알서방정50/1000밀리그램_(1정),sitagliptin
646300134,옴니파큐350주(이오헥솔)_(377.5g/500mL),iohexol
59001170,다누메트엑스알서방정100/1000밀리그램_(1정),sitagliptin
623500028,스캔룩스370주사액(이오파미돌)_(94.375g/125mL),iopamidol
59001180,다누메트정50/500밀리그램_(1정),sitagliptin
623500012,스캔룩스300주사액(이오파미돌)_(61.2g/100mL),iopamidol
621400103,이오메론350주사액(이오메프롤)_(107.16g/150mL),iomeprol
59001180,다누메트정50/500밀리그램_(1정),metformin
73600013,메디레이350주(이오헥솔)_(113.25g/150mL),iohexol
655403282,레이팜300주사액(이오파미돌)_(30.6g/50mL),iopamidol
59001190,다누메트정50/850밀리그램_(1정),metformin
645104533,보노렉스300주(이오헥솔)(수출명: IOHEXOL 300 Inj.)_(64.7g/100mL/관),iohexol
59001190,다누메트정50/850밀리그램_(1정),sitagliptin
650102761,아이오브릭스주350(이오헥솔)_(98.15g/130mL),iohexol
59001200,다누메트정50/1000밀리그램_(1정),sitagliptin
655403283,레이팜300주사액(이오파미돌)_(61.2g/100mL),iopamidol
59001200,다누메트정50/1000밀리그램_(1정),metformin
655404152,레이헥솔주350(이오헥솔)_(113.25g/150mL),iohexol
646300131,옴니파큐350주(이오헥솔)_(37.75g/50mL),iohexol
59400040,제토바정10/40밀리그램_(1정),ezetimibe
670606420,휴온스이트라코나졸정(이트라코나졸고체분산체)_(0.253g/1정),itraconazole
59400040,제토바정10/40밀리그램_(1정),atorvastatin
